time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-01T00:00:36.284Z,56.2144,163.8954,10,4.4,mb,,79,4.417,0.69,us,us700047th,2019-09-14T16:08:24.040Z,"87 km E of Ust’-Kamchatsk Staryy, Russia",earthquake,10.2,1.9,0.042,165,reviewed,us,us
2019-07-01T00:01:50.180Z,38.834,-122.8076667,2.38,1.4,md,38,28,0.01076,0.04,nc,nc73204136,2019-07-04T08:15:05.392Z,"7km W of Cobb, CA",earthquake,0.16,0.31,0.156,10,reviewed,nc,nc
2019-07-01T00:02:23.381Z,37.7934,-114.3066,7.2,1.3,ml,7,82.28,0.212,0.1415,nn,nn00688855,2019-07-01T04:08:58.685Z,"7 km E of Panaca, Nevada",earthquake,,4.2,0.36,2,reviewed,nn,nn
2019-07-01T00:03:42.053Z,37.7837,-114.3178,0,2.1,ml,10,63.63,0.214,0.131,nn,nn00688856,2019-09-14T16:08:24.040Z,"6 km E of Panaca, Nevada",earthquake,,2.2,0.38,3,reviewed,nn,nn
2019-07-01T00:05:10.810Z,36.1795,-120.273,2.28,1.66,md,15,155,0.2002,0.09,nc,nc73204146,2019-07-03T01:28:02.878Z,"9km ENE of Coalinga, CA",earthquake,0.58,0.8,0.258,9,reviewed,nc,nc
2019-07-01T00:17:09.091Z,61.3563,-146.8542,10.8,1.7,ml,,,,0.48,ak,ak0198czwtpr,2019-07-22T00:30:16.250Z,"37 km NW of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-01T00:17:37.863Z,37.7927,-114.3004,4.9,1,ml,6,97.84,0.216,0.0643,nn,nn00688880,2019-07-02T23:51:11.544Z,"7 km E of Panaca, Nevada",earthquake,,2.8,0,1,reviewed,nn,nn
2019-07-01T00:18:29.590Z,-15.8095,-177.3301,407.34,4.1,mb,,102,1.677,0.78,us,us70004hvh,2019-09-14T16:08:38.040Z,"185 km SSE of Alo, Wallis and Futuna",earthquake,13.4,3.6,0.145,13,reviewed,us,us
2019-07-01T00:25:58.126Z,60.2463,-141.1972,0,1,ml,,,,0.29,ak,ak0198czyqj8,2019-07-22T00:30:17.127Z,"113 km NW of Yakutat, Alaska",ice quake,,0,,,reviewed,ak,ak
2019-07-01T00:26:39.139Z,62.3974,-149.5363,54.5,1,ml,,,,0.52,ak,ak0198czytgs,2019-07-22T00:30:17.784Z,"29 km ESE of Chase, Alaska",earthquake,,0.6,,,reviewed,ak,ak
