time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-16T00:05:38.170Z,35.3745,-117.849,1.01,1.59,ml,20,48,0.1069,0.21,ci,ci38577087,2019-07-16T00:16:11.300Z,"19km W of Johannesburg, CA",earthquake,0.35,0.82,0.147,25,automatic,ci,ci
2019-07-16T00:07:07.100Z,35.9116667,-117.72,2,1.02,ml,8,96,0.06708,0.15,ci,ci38577103,2019-07-16T00:10:54.444Z,"17km E of Little Lake, CA",earthquake,0.29,0.64,0.132,12,automatic,ci,ci
2019-07-16T00:07:08.770Z,19.3543,-65.6521,48,3.22,md,6,319,1.2281,0.49,pr,pr2019197000,2019-10-04T16:37:01.040Z,"104 km NNE of Suárez, Puerto Rico",earthquake,7.03,28.75,0,1,reviewed,pr,pr
2019-07-16T00:12:20.890Z,37.8175,-113.1845,9.03,1.28,md,9,139,0.2048,0.15,uu,uu60331372,2019-07-16T21:11:03.500Z,"14 km WNW of Enoch, Utah",earthquake,0.66,2.7,0.135,6,reviewed,uu,uu
2019-07-16T00:13:25.280Z,35.9116667,-117.7381667,2.78,1.44,ml,13,87,0.07472,0.15,ci,ci38577111,2019-07-16T00:17:06.129Z,"15km E of Little Lake, CA",earthquake,0.42,0.57,0.18,17,automatic,ci,ci
2019-07-16T00:13:30.316Z,61.3706,-150.0075,36.2,1.7,ml,,,,0.54,ak,ak01991sy7vh,2019-08-12T23:48:52.780Z,"1 km NW of Point MacKenzie, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-07-16T00:18:36.961Z,-8.8208,114.487,80,5.7,mww,,19,0.48,1.42,us,us70004l29,2020-07-10T17:45:51.838Z,"46 km SSE of Muncar, Indonesia",earthquake,7.3,1.8,0.056,31,reviewed,us,us
2019-07-16T00:21:25.140Z,35.6443333,-117.4463333,5.64,2,ml,23,98,0.05914,0.14,ci,ci38577127,2019-07-16T00:25:11.727Z,"14km SSW of Searles Valley, CA",earthquake,0.29,0.76,0.158,27,automatic,ci,ci
2019-07-16T00:23:37.680Z,35.6946667,-117.46,6.17,1.17,ml,10,186,0.1079,0.19,ci,ci38577135,2019-07-16T00:27:19.102Z,"10km SSW of Searles Valley, CA",earthquake,0.74,1.7,0.207,12,automatic,ci,ci
2019-07-16T00:24:35.990Z,35.6706667,-117.4983333,10,1.44,ml,14,167,0.08899,0.14,ci,ci38577143,2019-07-16T00:28:14.179Z,"14km SW of Searles Valley, CA",earthquake,0.46,0.9,0.233,20,automatic,ci,ci
2019-07-16T00:26:02.020Z,35.5395,-117.3828333,8.38,1.2,ml,15,122,0.02082,0.13,ci,ci38577151,2019-12-03T23:29:47.622Z,"25km S of Trona, CA",earthquake,0.3,0.63,0.287,3,reviewed,ci,ci
2019-07-16T00:26:09.560Z,36.0281667,-117.319,6,2.86,ml,10,141,0.14,0.1,ci,ci38577167,2019-07-16T15:23:21.527Z,"30km N of Trona, CA",earthquake,0.27,1.91,0.14,60,reviewed,ci,ci
2019-07-16T00:27:16.868Z,-55.8739,-27.57,10,4.7,mb,,115,5.365,0.69,us,us60004uw9,2019-10-04T16:37:01.040Z,"South Sandwich Islands region",earthquake,6.2,1.9,0.095,34,reviewed,us,us
2019-07-16T00:29:05.250Z,36.0285,-117.3268333,1.47,1.49,ml,12,121,0.1417,0.14,ci,ci38577175,2019-07-16T00:32:55.829Z,"30km N of Trona, CA",earthquake,0.31,0.76,0.089,16,automatic,ci,ci
2019-07-16T00:29:17.100Z,38.8005,-122.8221667,3.27,1.42,md,44,57,0.009991,0.06,nc,nc73224346,2019-07-23T09:13:02.979Z,"6km WNW of The Geysers, CA",earthquake,0.18,0.31,0.155,13,reviewed,nc,nc
2019-07-16T00:29:34.620Z,35.9401665,-117.7088318,2.36,1.38,ml,21,70,0.08881,0.13,ci,ci38577191,2019-07-16T00:33:15.713Z,"18km E of Little Lake, CA",earthquake,0.34,0.42,0.213,4,automatic,ci,ci
2019-07-16T00:30:08.330Z,35.7021667,-117.4878333,3.2,1.58,ml,6,188,0.1442,0.04,ci,ci38577199,2019-07-16T00:34:04.718Z,"10km SW of Searles Valley, CA",earthquake,1.7,1.24,0.219,14,automatic,ci,ci
2019-07-16T00:31:27.790Z,35.6583333,-117.4418333,2.46,1.37,ml,13,121,0.07357,0.18,ci,ci38577207,2019-07-16T00:34:59.725Z,"13km SSW of Searles Valley, CA",earthquake,0.52,0.63,0.194,15,automatic,ci,ci
2019-07-16T00:33:58.000Z,35.6443333,-117.4331667,0.27,1.12,ml,9,191,0.06237,0.1,ci,ci38577215,2019-07-16T00:37:57.149Z,"14km S of Searles Valley, CA",earthquake,0.55,31.61,0.151,13,automatic,ci,ci
